Rank,Country,Capital,2020 Population,2010 Population,2000 Population,Area (km²)
169,Montenegro,Podgorica,629048,631044,633324,13812
230,Montserrat,Brades,4500,4938,5138,102
40,Morocco,Rabat,36688772,32464865,28554415,446550
48,Mozambique,Maputo,31178239,23073723,17768505,801590
26,Myanmar,Nay Pyi Taw,53423198,49390988,45538332,676578
145,Namibia,Windhoek,2489098,2099271,1819141,825615
225,Nauru,Yaren,12315,10241,10377,21
49,Nepal,Kathmandu,29348627,27161567,24559500,147181
71,Netherlands,Amsterdam,17434557,16617116,15899135,41850
185,New Caledonia,Nouméa,286403,261426,221537,18575
123,New Zealand,Wellington,5061133,4346338,3855266,270467
106,Nicaragua,Managua,6755895,5855734,5123222,130373
54,Niger,Niamey,24333639,16647543,11622665,1267000
6,Nigeria,Abuja,208327405,160952853,122851984,923768
232,Niue,Alofi,1942,1812,2074,260
56,North Korea,Pyongyang,25867467,24686435,23367059,120538
150,North Macedonia,Skopje,2111072,2093828,2037936,25713
210,Northern Mariana Islands,Saipan,49587,54087,80338,464
120,Norway,Oslo,5379839,4889741,4491202,323802
127,Oman,Muscat,4543399,2881914,2344253,309500
5,Pakistan,Islamabad,227196741,194454498,154369924,881912
222,Palau,Ngerulmud,17972,18540,19726,459
122,Palestine,Ramallah,5019401,3992278,3139954,6220
128,Panama,Panama City,4294396,3623617,3001731,75417
93,Papua New Guinea,Port Moresby,9749640,7583269,5508297,462840
109,Paraguay,Asunción,6618695,5768613,5123819,406752
44,Peru,Lima,33304756,29229572,26654439,1285216
13,Philippines,Manila,112190977,94636700,77958223,342353
37,Poland,Warsaw,38428366,38597353,38504431,312679
92,Portugal,Lisbon,10298192,10588401,10300626,92090
136,Puerto Rico,San Juan,3271564,3717922,3827108,8870
143,Qatar,Doha,2760385,1713504,645937,11586
114,Congo,Brazzaville,5702174,4437884,3134030,342000
161,Reunion,Saint-Denis,957822,890130,785424,2511
64,Romania,Bucharest,19442038,20335211,21919876,238391
9,Russia,Moscow,145617329,143242599,146844839,17098242
76,Rwanda,Kigali,13146362,10309031,8109989,26338
228,Saint Barthelemy,Gustavia,10681,8988,7082,21
211,Saint Kitts and Nevis,Basseterre,47642,47403,45461,261
190,Saint Lucia,Castries,179237,170935,159500,616
220,Saint Martin,Marigot,32552,36458,29610,53
229,Saint Pierre and Miquelon,Saint-Pierre,5906,6052,6274,242
199,Saint Vincent and the Grenadines,Kingstown,104632,109308,113813,389
188,Samoa,Apia,214929,194672,184008,2842
218,San Marino,San Marino,34007,31608,26823,61
187,Sao Tome and Principe,São Tomé,218641,182138,143714,964
41,Saudi Arabia,Riyadh,35997107,29411929,21547390,2149690
72,Senegal,Dakar,16436119,12530121,9704287,196722
105,Serbia,Belgrade,7358005,7653748,7935022,88361
196,Seychelles,Victoria,105530,92409,80060,452
102,Sierra Leone,Freetown,8233969,6436698,4584067,71740
113,Singapore,Singapore,5909869,5163590,4053602,710
214,Sint Maarten,Philipsburg,43621,33034,30489,34
116,Slovakia,Bratislava,5456681,5396424,5376690,49037
148,Slovenia,Ljubljana,2117641,2057286,1984339,20273
166,Solomon Islands,Honiara,691191,540394,429978,28896
70,Somaliland,Mogadishu,16537016,12026649,8721465,637657
24,South Africa,Pretoria,58801927,51784921,46813266,1221037
29,South Korea,Seoul,51844690,48813042,46788591,100210
86,S. Sudan,Juba,10606227,9714419,6114440,619745
30,Spain,Madrid,47363807,46572772,40741651,505992
61,Sri Lanka,Colombo,21715079,20668557,18776371,65610
32,Sudan,Khartoum,44440486,33739933,26298773,1886068
170,Suriname,Paramaribo,607065,546080,478998,163820
87,Sweden,Stockholm,10368969,9381729,8871043,450295
101,Switzerland,Bern,8638613,7822435,7182059,41284
60,Syria,Damascus,20772595,22337563,16307654,185180
57,Taiwan,Taipei,23821464,23083083,22194731,36193
95,Tajikistan,Dushanbe,9543207,7621779,6272998,143100
22,Tanzania,Dodoma,61704518,45110527,34463704,945087
20,Thailand,Bangkok,71475664,68270489,63066603,513120
155,Timor-Leste,Dili,1299995,1088486,878360,14874
100,Togo,Lomé,8442580,6571855,5008035,56785
233,Tokelau,Nukunonu,1827,1367,1666,12
197,Tonga,Nuku‘alofa,105254,107383,102603,747
153,Trinidad and Tobago,Port-of-Spain,1518147,1410296,1332203,5130
79,Tunisia,Tunis,12161723,10895063,9893316,163610
18,Turkey,Ankara,84135428,73195345,64113547,783562
111,Turkmenistan,Ashgabat,6250438,5267970,4569132,488100
212,Turks and Caicos Islands,Cockburn Town,44276,29726,18744,948
227,Tuvalu,Funafuti,11069,10550,9638,26
31,Uganda,Kampala,44404611,32341728,24020697,241550
38,Ukraine,Kiev,43909666,45683020,48879755,603500
97,United Arab Emirates,Abu Dhabi,9287289,8481771,3275333,83600
21,United Kingdom,London,67059474,62760039,58850043,242900
3,United States of America,"Washington, D.C.",335942003,311182845,282398554,9372610
200,United States Virgin Islands,Charlotte Amalie,100442,106142,108185,347
133,Uruguay,Montevideo,3429086,3352651,3292224,181034
43,Uzbekistan,Tashkent,33526656,28614227,24925554,447400
181,Vanuatu,Port-Vila,311685,245453,192074,12189
234,Vatican City,Vatican City,520,596,651,1
51,Venezuela,Caracas,28490453,28715022,24427729,916445
16,Vietnam,Hanoi,96648685,87411012,79001142,331212
226,Wallis and Futuna,Mata-Utu,11655,13142,14723,142
172,W. Sahara,El Aaiún,556048,413296,270375,266000
46,Yemen,Sanaa,32284046,24743946,18628700,527968
63,Zambia,Lusaka,18927715,13792086,9891136,752612
74,Zimbabwe,Harare,15669666,12839771,11834676,390757
